Country,Year,% of 25-64 year olds with Below Upper Secondary Education,% of 25-64 year olds with Tertiary Education,% of 25-64 year olds with Upper Secondary Education
LTU,2021,6.7329736,45.343121,47.923908
LUX,2010,22.322315,35.475895,42.20179
LUX,2011,22.742352,37.034779,40.22287
LUX,2012,21.69751,39.110382,39.192108
LUX,2013,19.512997,40.673241,39.813763
LUX,2014,18.023409,45.935593,36.041
LUX,2015,25.391632,39.794865,34.813503
LUX,2016,21.180861,42.856003,35.963139
LUX,2017,23.302259,40.325737,36.372005
LUX,2018,22.764822,43.886856,33.34832
LUX,2019,24.854612,51.642971,23.502417
LUX,2020,25.849997,51.312302,22.837704
LUX,2021,19.698715,50.304401,29.996883
LVA,2010,11.396096,26.946114,61.657791
LVA,2011,12.062219,27.69327,60.244511
LVA,2012,10.897214,29.227177,59.87561
LVA,2013,10.645624,31.011995,58.342381
LVA,2014,13.338798,30.230137,56.431065
LVA,2015,12.217953,31.591949,56.190098
LVA,2016,11.318077,33.361481,55.320442
LVA,2017,12.391879,33.882294,53.725826
LVA,2018,12.368318,33.939289,53.692394
LVA,2019,11.564806,35.707733,52.727459
LVA,2020,10.527256,37.833885,51.638859
LVA,2021,10.605479,39.00124,50.393284
MEX,2010,67.913872,14.654601,17.431528
MEX,2011,66.860298,15.012249,18.127449
MEX,2012,66.014343,15.709545,18.276108
MEX,2013,65.209229,16.20183,18.58894
MEX,2014,64.907104,15.996383,19.09651
MEX,2015,64.336807,16.278801,19.38439
MEX,2016,63.365211,16.818605,19.816181
MEX,2017,62.338387,17.418995,20.242617
MEX,2018,60.853703,17.979799,21.166498
MEX,2019,60.211422,18.259947,21.528631
MEX,2020,58.403774,19.432951,22.163275
MEX,2021,57.190308,20.45546,22.354233
NLD,2010,27.026423,32.389164,40.584415
NLD,2011,27.715986,32.041344,40.242668
NLD,2012,26.576496,34.398335,39.025169
NLD,2013,24.204819,33.869305,41.925877
NLD,2014,24.098568,34.419815,41.481617
NLD,2015,23.600424,35.330765,41.06881
NLD,2016,22.9333,35.999168,41.067532
NLD,2017,21.618059,37.16811,41.213829
NLD,2018,20.976793,38.343895,40.67931
NLD,2019,20.440771,40.385136,39.174091
NLD,2020,18.97662,42.644951,38.378426
NLD,2021,19.437679,43.059402,37.502918
NOR,2010,19.372442,37.284328,43.343231
NOR,2011,18.103582,38.053513,43.842903
NOR,2012,17.945995,38.561893,43.492111
NOR,2013,17.591412,39.770252,42.638336
NOR,2014,18.052679,41.757915,40.189404
NOR,2015,17.628136,42.706734,39.665131
NOR,2016,17.761009,43.016758,39.222229
NOR,2017,18.030542,43.207031,38.762424
NOR,2018,17.522373,43.575832,38.901794
NOR,2019,17.480188,44.129421,38.390388
NOR,2020,17.518663,45.273285,37.20805
NOR,2021,17.57239,47.220146,35.207466
NZL,2014,25.924784,35.628941,38.446278
NZL,2015,25.277622,34.040531,40.681847
NZL,2016,23.423424,36.275139,40.301437
NZL,2017,21.118555,37.730431,41.151012
NZL,2018,19.542797,39.292675,41.164528
NZL,2019,19.30257,39.065784,41.631645
NZL,2020,19.066416,40.121872,40.81171
NZL,2021,19.431931,40.490189,40.077881
OAVG,2010,26.180388,30.240952,44.0301
OAVG,2011,25.951325,30.762404,43.730167
OAVG,2012,24.644767,32.183042,43.634866
OAVG,2013,24.310184,32.652397,43.579974
OAVG,2014,24.26982,33.639394,42.494833
OAVG,2015,24.218758,33.951053,42.251555
OAVG,2016,22.989976,35.249235,42.184337
OAVG,2017,22.850214,35.759683,41.813909
OAVG,2018,22.025492,36.847736,41.54567
OAVG,2019,21.429248,37.904231,41.076902
OAVG,2020,19.797522,39.221042,41.392721
OAVG,2021,19.925746,39.949537,40.558218
POL,2010,11.485272,22.468407,66.046318
POL,2011,11.087381,23.283596,65.629021
POL,2012,10.402209,24.512804,65.084984
POL,2013,9.8658543,25.755669,64.378479
POL,2014,9.4829636,26.995474,63.521564
POL,2015,9.2220259,27.747267,63.030708
POL,2016,8.6792269,28.711193,62.609581
POL,2017,7.8886991,29.919453,62.191849
POL,2018,7.5521989,30.919592,61.52821
POL,2019,7.3676858,32.014767,60.61755
POL,2020,6.7551556,32.875156,60.369686
POL,2021,6.7923322,33.234364,59.973305
PRT,2010,68.082458,15.445285,16.472258
PRT,2011,64.972481,17.25703,17.770487
PRT,2012,62.369896,18.534111,19.095991
PRT,2013,59.952484,19.307142,20.740372
PRT,2014,56.719505,21.7169,21.563595
